compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,953.687,907.375,939.188,941.062,936.937,953.688,961.75,914.0,935.312,955.688,1002.88,924.75,926.188,940.062,992.187,933.125,944.867,25.3453
exocc,32,1192.13,942.625,909.188,911.313,916.313,920.063,945.5,931.0,923.25,909.938,948.063,941.937,949.313,943.625,916.625,972.625,948.344,67.4616
exocc,64,1042.63,1028.5,996.625,964.438,999.125,979.625,973.688,1036.44,1025.44,961.813,969.125,1040.37,1014.0,981.812,971.75,957.875,996.453,30.4718
exocc,128,1083.69,1113.19,1096.44,1076.69,1101.94,1085.44,1082.87,1187.75,1125.81,1101.19,1109.06,1275.56,1253.25,1247.12,1092.81,879.062,1119.49,92.6263
exocc,256,1404.94,1514.12,1782.31,2050.25,2036.31,1993.87,1999.69,1893.88,4540.44,1827.81,2045.44,1755.19,1313.19,1421.06,1391.06,1403.19,1898.3,755.714
exocc,512,1874.5,1727.31,1744.94,1808.13,1702.38,1746.13,1888.06,2009.44,1734.25,1533.81,1580.13,1493.5,1360.38,1322.63,1336.69,1596.88,1653.7,204.946
exocc,1024,1998.75,1945.87,1897.25,1892.81,1921.62,1893.25,1899.19,1865.12,1884.0,1883.63,2187.94,2697.75,2663.81,2402.37,1885.94,1891.63,2050.68,283.579
exocc,2048,3785.69,3041.94,3045.25,3052.06,3069.31,3033.0,3100.88,3026.31,3156.5,3028.44,3085.94,3065.13,3024.69,3021.87,3057.25,3047.81,3102.63,185.407
exocc,4096,5413.75,5474.37,5359.69,5559.75,5552.5,5380.0,5290.12,5321.94,5341.38,5476.0,5351.25,5346.31,5316.31,5340.38,5311.06,5359.75,5387.16,84.3054
exocc,8192,9983.19,9982.06,10115.8,10243.2,11030.4,9880.44,10201.5,9928.38,9941.62,10011.7,10279.2,10897.6,10663.7,10039.8,10223.4,10300.3,10232.6,346.258
exocc,16384,20143.3,19636.3,24179.4,24937.8,22350.7,19755.2,19881.7,20252.7,19798.5,19584.5,19436.8,19577.6,19317.1,19720.6,19924.2,19459.1,20497.2,1737.09
exocc,32768,41691.8,40124.6,40169.3,39618.5,39746.9,39227.8,39265.4,39996.9,40396.9,41146.2,39710.9,39787.2,39226.4,39547.9,40208.6,40045.9,39994.5,668.333
exocc,65536,81180.3,80638.0,81834.4,101322.0,92031.8,79245.9,79939.3,79692.9,83132.4,80101.7,81390.3,82583.4,80553.6,91173.9,97586.4,99525.9,85745.8,7793.73
exomlir,16,1009.69,898.75,1071.75,1097.25,1034.25,1017.62,1011.38,992.875,976.0,1021.62,959.625,979.687,959.5,924.563,941.75,956.938,990.828,52.2391
exomlir,32,968.25,982.688,945.5,971.437,971.562,959.812,1010.25,991.875,1019.62,999.875,1003.81,1021.31,961.25,966.938,1317.94,942.938,1002.19,87.712
exomlir,64,1023.62,1158.25,1078.87,1071.69,1012.19,1042.87,1078.0,1055.5,1086.06,1122.94,1051.37,1117.06,1085.25,1075.63,1031.31,1164.31,1078.43,44.3565
exomlir,128,1118.75,879.25,870.125,868.938,871.125,869.0,871.625,867.437,867.062,868.188,867.563,868.625,867.75,869.25,1161.69,1208.5,924.68,119.395
exomlir,256,1180.5,1001.0,1004.12,996.25,993.5,993.562,996.437,996.75,1018.94,1007.5,1007.5,999.562,997.625,1009.06,996.75,1017.5,1013.54,45.2135
exomlir,512,1413.0,1307.56,1270.75,1273.25,1293.44,1261.56,1273.13,1283.87,1291.94,1278.44,1285.44,1366.19,1269.87,1299.31,1274.87,1419.38,1303.88,50.0482
exomlir,1024,1865.19,1788.44,1812.31,1796.81,1789.44,1953.44,1762.12,1790.62,1759.88,1762.06,1778.94,1781.5,1781.75,1803.31,1801.37,1789.44,1801.04,47.6076
exomlir,2048,2875.56,2832.0,2829.06,2906.94,2846.12,2903.06,2891.37,2957.06,2904.44,2868.75,3031.69,3384.81,2858.87,2868.75,2846.38,2896.63,2918.84,134.114
exomlir,4096,5080.81,5024.0,5112.31,6126.56,6096.56,6193.56,5874.31,5963.19,6105.56,6289.5,6594.94,6001.75,6109.25,6195.69,6096.94,5943.06,5925.5,453.755
exomlir,8192,11271.4,9265.94,9914.94,9140.25,9342.69,9363.0,9453.06,9308.0,9685.25,9247.94,9321.19,9529.13,9640.19,9322.62,9130.13,9162.75,9506.15,516.944
exomlir,16384,18044.9,18241.4,17948.8,17821.1,17866.6,18008.9,18300.8,18227.3,17873.5,17930.2,17827.7,17734.6,18318.6,18773.1,17952.7,17948.1,18051.1,263.083
exomlir,32768,38044.0,37407.4,36845.1,38394.8,36581.8,36764.7,37909.9,40903.6,36472.3,36168.3,37150.5,36605.3,36547.7,36912.3,37293.5,37202.4,37325.2,1134.82
exomlir,65536,76118.4,74039.2,75469.4,75964.2,76804.5,73946.9,79088.1,90250.4,93726.6,95333.1,93527.0,94269.7,94971.6,93635.7,90539.6,99771.1,86091.0,9552.49
