compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,1079.31,969.25,946.875,898.375,930.625,913.5,913.063,951.438,917.5,926.5,923.75,909.125,913.312,898.125,914.188,924.0,933.059,43.3689
exocc,32,966.375,968.75,1012.5,969.063,982.062,950.25,932.375,1008.25,987.625,978.187,941.313,904.625,910.0,914.125,915.813,965.063,956.648,34.1966
exocc,64,950.875,1243.25,956.312,953.313,916.5,985.125,919.313,955.937,939.188,969.062,973.438,959.687,955.562,933.438,991.188,982.937,974.07,74.9756
exocc,128,1004.56,972.5,966.0,1048.75,1203.25,1058.69,1141.81,1055.31,1098.5,1069.56,1013.75,1026.44,1076.56,1133.75,1125.12,1151.06,1071.6,67.2619
exocc,256,1347.0,1096.56,1084.69,1116.25,1222.81,1072.5,1139.62,1208.37,1157.37,1265.5,1116.06,1105.75,1090.94,1165.75,1155.37,1262.37,1162.93,78.3641
exocc,512,1321.12,1224.63,1208.69,1275.75,1300.88,1428.75,1351.94,1162.62,1231.87,1167.81,1348.5,1364.63,1178.88,1233.31,1278.69,1366.25,1277.77,80.7871
exocc,1024,1591.31,1529.25,1355.62,1369.94,1544.62,1427.81,1361.06,1513.06,1336.63,1380.19,1371.44,1431.38,1428.31,1402.81,1315.63,1185.0,1409.0,100.41
exocc,2048,1599.19,1479.06,1577.69,1862.38,3531.56,1570.81,2624.37,2033.12,1460.25,3585.56,1587.06,1889.69,1523.5,1385.38,1473.37,1443.81,1914.18,712.358
exocc,4096,2060.94,2119.06,1966.31,1901.25,2032.5,3347.44,2367.94,2321.25,2380.63,2686.31,2423.94,2482.87,2237.06,2095.31,2328.63,2094.5,2302.87,349.028
exocc,8192,4018.63,4014.63,4565.12,4350.69,4096.37,4215.31,4182.13,4341.81,4495.69,4457.06,4216.62,4279.94,4025.81,4196.94,4087.75,4245.25,4236.86,170.905
exocc,16384,9869.81,10262.8,10921.5,9953.94,10327.9,9803.69,9307.44,9960.06,8937.06,10020.3,9922.12,9116.25,9639.63,9395.0,8888.44,9436.0,9735.12,542.146
exocc,32768,24032.1,26583.7,24970.9,22209.4,24186.4,22558.8,23008.4,25292.8,22762.9,22986.9,22762.9,21332.7,27124.0,24011.2,22447.1,23345.7,23726.0,1595.65
exocc,65536,48122.5,47629.0,48801.4,46018.4,47967.4,47672.4,46088.7,47987.9,46939.9,45685.0,47087.9,49595.7,55084.6,46441.8,49041.0,46911.4,47942.2,2208.76
exomlir,16,959.313,965.562,970.125,910.062,898.063,895.063,916.125,933.063,899.688,905.0,907.75,896.063,893.813,908.25,1153.31,935.937,934.199,63.8586
exomlir,32,915.125,949.375,889.75,897.062,898.625,901.875,894.063,931.625,902.813,894.437,895.187,916.25,915.187,915.562,894.125,904.938,907.25,15.9958
exomlir,64,940.375,903.063,934.0,910.438,926.625,902.938,933.062,950.625,959.187,965.125,906.875,930.5,948.187,913.687,906.437,916.75,927.992,20.4847
exomlir,128,935.313,927.688,944.812,922.375,917.563,914.75,943.875,919.938,927.438,905.437,907.812,937.563,962.0,933.125,924.688,950.813,929.699,15.5889
exomlir,256,953.563,927.688,999.812,939.25,940.187,972.75,1040.69,942.563,985.437,977.937,928.563,932.688,943.562,948.812,927.312,943.125,956.496,31.3327
exomlir,512,1028.69,991.313,973.313,978.938,985.688,1008.0,1029.13,1008.56,1037.87,1020.5,1127.37,1191.75,988.25,1012.5,994.0,1008.88,1024.05,57.2998
exomlir,1024,1130.94,1121.25,1105.0,1094.12,1149.69,1141.56,1118.56,1124.5,1107.0,1146.87,1116.06,1113.44,1206.0,1163.19,1174.63,1118.81,1133.23,29.1908
exomlir,2048,1335.25,1380.44,1424.5,1399.94,1528.62,1380.81,1431.44,1456.25,1369.13,1405.25,1545.19,1379.69,1413.13,1388.44,1347.31,1358.19,1408.97,59.0228
exomlir,4096,2168.06,2329.12,2149.94,2413.69,2191.62,2313.06,2335.38,2280.5,2185.88,2483.37,2197.87,2208.87,2235.75,2185.56,2167.75,2337.19,2261.48,98.3135
exomlir,8192,4343.37,4213.87,4376.94,4449.63,4149.81,4332.31,4280.06,4160.06,4005.19,4078.0,4154.94,4516.81,4181.87,4009.37,4284.81,4228.37,4235.34,146.587
exomlir,16384,8709.5,8531.81,9165.81,8403.88,9044.69,9122.75,8885.13,9556.75,11637.9,11646.6,9561.31,8744.5,9898.56,8996.25,8562.5,9027.69,9343.47,982.573
exomlir,32768,21078.9,22993.2,22765.8,22782.1,23082.3,22080.4,23067.4,22713.6,22155.8,22513.8,22979.9,23035.0,23144.1,22948.0,22509.4,21877.8,22608.0,562.567
exomlir,65536,46905.3,49316.9,66679.4,54633.4,49928.7,46345.8,51945.3,64118.4,57377.3,51348.5,50898.9,53421.7,68227.3,46380.1,49485.1,46877.2,53368.1,7159.13
