compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,1071.0,1161.31,1033.0,1277.56,1117.0,1015.62,1018.06,1116.62,1001.31,1084.87,973.312,1048.0,1112.0,1410.38,986.0,967.875,1087.12,117.761
exocc,32,1035.38,1073.31,1031.56,1094.81,1111.75,1064.37,1037.0,993.562,999.75,1042.5,1058.44,997.375,947.813,1003.5,1049.19,962.187,1031.41,45.2297
exocc,64,1155.69,1104.12,1070.63,1103.25,1088.44,1118.19,1061.56,1186.31,1057.19,1173.38,1085.0,1057.75,1061.94,1024.94,1069.19,1026.69,1090.27,47.9592
exocc,128,1296.63,1353.94,1187.31,1196.13,1213.25,1207.56,1292.31,1167.25,1209.62,1151.25,1301.12,1319.06,1316.81,1293.62,1183.31,1285.31,1248.41,64.4899
exocc,256,1510.25,1482.69,1395.31,1496.38,1510.88,1481.25,1403.94,1452.5,1445.31,1447.94,1390.5,1490.25,1428.81,1483.56,1427.87,1391.44,1452.43,42.612
exocc,512,1809.31,1757.25,1633.31,1691.13,1789.56,1840.94,1799.69,1976.06,1695.75,1766.81,1763.0,1748.5,1739.0,1750.12,1802.38,1816.56,1773.71,75.6118
exocc,1024,2403.31,2529.56,2416.0,2338.37,2372.56,2564.62,2467.06,2344.88,2606.81,2471.75,2466.06,2413.87,2474.94,2596.44,2399.5,2483.25,2459.31,83.092
exocc,2048,3780.44,3700.75,3959.94,3638.06,3759.13,3664.75,3665.0,3578.81,3654.25,3872.56,3425.44,3385.25,3754.75,3629.81,3717.0,3662.56,3678.03,143.001
exocc,4096,6375.06,6167.0,5862.56,5851.12,6060.25,5979.5,5947.19,6084.25,5935.31,5937.37,6173.5,5991.88,6073.44,6123.12,5891.06,6257.81,6044.4,148.137
exocc,8192,11117.1,10767.7,9623.69,9786.38,9904.38,10169.9,11699.7,10941.1,11049.2,12267.1,11736.1,10991.9,10888.2,10798.3,10663.2,10574.2,10811.1,718.54
exocc,16384,21256.8,21716.3,21235.3,20963.4,21115.8,21764.5,22904.0,20798.9,20776.9,21115.9,20846.9,21353.7,21066.9,21399.5,21160.1,21432.8,21306.7,515.28
exocc,32768,41452.1,42102.3,41654.5,41506.4,41684.4,41820.3,42203.1,42737.1,41469.6,41264.4,42495.9,40972.5,43661.1,43146.4,42136.4,41410.3,41982.3,727.975
exocc,65536,83332.9,81717.6,81702.6,82017.7,81896.4,82740.1,82046.2,81357.3,87623.7,84440.1,82994.3,81734.5,82883.1,88611.7,88741.8,83913.6,83609.6,2499.52
exomlir,16,926.875,911.0,920.437,933.063,913.625,928.313,903.875,918.25,912.375,900.312,896.438,1186.06,896.625,917.75,901.25,901.875,929.258,69.4369
exomlir,32,975.688,942.0,929.187,919.125,923.312,936.563,915.75,920.0,928.688,911.062,950.0,940.187,952.125,973.5,939.25,959.5,938.496,19.6433
exomlir,64,1002.25,986.25,963.375,970.438,969.438,979.25,980.187,1002.06,987.125,994.5,956.0,1035.19,1002.38,1002.06,954.625,962.687,984.238,21.6443
exomlir,128,1095.44,1115.75,1134.69,1086.25,1108.31,1100.25,1080.69,1038.0,1076.19,1036.87,1060.13,1079.75,1085.69,1084.69,1052.0,1084.31,1082.44,26.5249
exomlir,256,1223.88,1249.75,1246.0,1230.0,1184.0,1235.13,1187.69,1140.37,1227.13,1236.94,1322.31,1202.5,1177.31,1166.75,1255.06,1246.0,1220.68,43.3994
exomlir,512,1566.5,1462.31,1474.13,1533.94,1477.0,1502.75,1478.94,1440.56,1594.56,1480.75,1500.44,1513.62,1499.5,1490.44,1465.19,1481.19,1497.61,39.363
exomlir,1024,2304.81,2182.81,2062.75,2113.81,2692.56,2356.5,2068.87,2031.0,2062.12,2112.88,2071.38,2012.0,2154.56,2042.62,2233.69,2029.56,2158.25,174.742
exomlir,2048,3324.56,3230.25,3405.19,3320.62,3504.94,3329.31,3395.94,3241.0,3267.56,3223.75,3446.63,3094.31,3149.69,3066.88,3134.25,3086.06,3263.81,134.759
exomlir,4096,5528.44,5558.5,5392.56,5494.37,5555.88,5362.31,5287.44,5312.94,5407.63,5593.44,5375.19,5431.0,5355.81,5382.38,5318.87,5516.62,5429.59,97.9937
exomlir,8192,10340.5,10088.8,10498.3,10326.4,10595.4,10659.9,10145.4,10454.1,10562.9,10371.1,10536.3,10248.3,10657.7,10228.6,10284.5,10052.8,10378.2,196.64
exomlir,16384,20860.3,21332.9,21097.8,21236.9,21063.9,21672.6,21238.7,21018.9,20932.5,21637.5,22282.3,20332.7,21518.1,21194.2,20405.8,20144.7,21123.1,539.058
exomlir,32768,43490.6,43626.2,43333.7,40979.2,42135.7,43023.7,42308.5,40762.8,44794.6,40780.4,41503.8,41107.4,40977.9,41116.7,41783.5,41323.9,42065.5,1237.72
exomlir,65536,81968.5,80414.6,83342.2,83256.1,84086.9,81484.0,81053.2,82065.5,87380.4,82402.8,80969.2,80437.1,82354.8,86125.2,83971.8,90284.3,83224.8,2704.21
