compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,1065.13,1046.38,901.688,894.813,885.313,895.375,895.062,887.875,913.187,910.313,937.625,1061.87,893.125,981.125,892.75,929.687,936.957,64.673
exocc,32,934.812,932.438,929.5,933.687,961.375,930.125,914.562,953.25,956.125,922.188,944.75,998.5,946.938,927.187,909.25,987.0,942.605,24.3469
exocc,64,928.5,901.0,972.625,967.125,924.063,925.313,951.125,933.125,912.562,922.437,931.062,971.563,1013.0,913.375,940.437,932.688,940.0,28.6625
exocc,128,970.312,917.563,1052.87,1057.38,925.0,933.437,1013.94,1018.87,935.5,971.438,927.438,1000.75,974.875,1058.25,949.625,924.625,976.992,50.5876
exocc,256,1057.62,982.125,1037.75,1160.75,1072.25,1045.69,1022.19,1121.19,1084.62,1133.25,971.5,1032.81,1019.69,991.0,1099.94,1401.88,1077.14,102.289
exocc,512,1286.56,1152.56,1155.88,1184.94,1199.62,1227.56,1916.0,1437.69,1208.81,1106.69,1056.44,1122.94,1122.13,1209.87,1254.44,1613.81,1266.0,220.279
exocc,1024,1555.94,1449.19,1455.75,1203.75,1338.13,1140.5,1178.12,1280.19,1346.37,1351.31,1613.63,1782.88,1586.88,1276.06,1286.75,1287.44,1383.3,177.37
exocc,2048,1484.94,1557.31,1497.69,1566.0,1469.25,1368.12,1685.81,1645.13,1954.19,1535.13,1422.37,1412.31,1406.19,1476.75,1316.19,1284.62,1505.12,161.684
exocc,4096,2097.25,1894.94,1755.19,1775.44,1851.13,1842.25,1919.56,1895.25,1881.5,1798.19,1976.19,1831.38,1912.87,1660.56,1848.69,1805.94,1859.14,98.333
exocc,8192,3305.56,3627.13,2949.63,3491.63,4007.06,3593.37,3292.38,3336.44,4902.25,5709.0,3663.25,3005.63,2965.81,2777.81,2764.44,2764.87,3509.77,804.012
exocc,16384,6065.12,6135.5,5931.25,5850.06,6203.94,6328.19,7856.25,5802.44,5404.44,5688.38,6339.13,5664.44,6557.25,6174.12,5486.44,5969.31,6091.02,567.815
exocc,32768,16786.7,17219.3,18315.4,13155.3,11825.4,12677.2,16102.7,17220.4,17393.0,15862.3,17160.8,16848.7,17713.4,17968.1,16953.6,17313.6,16282.2,1961.69
exocc,65536,43599.4,41326.3,43476.0,42402.9,44195.7,42826.6,41104.7,43235.7,42891.5,42136.1,43151.0,43614.2,44342.0,45343.0,42824.4,47353.2,43363.9,1509.14
exomlir,16,927.687,923.375,934.937,897.875,903.625,894.5,927.438,903.813,891.688,947.688,903.75,899.875,917.5,895.687,895.188,895.625,910.016,17.2594
exomlir,32,907.25,887.687,917.313,932.875,892.5,901.313,918.063,888.625,890.063,916.75,926.25,891.313,900.563,886.375,907.625,906.25,904.426,14.633
exomlir,64,927.5,891.437,945.375,919.75,896.438,898.813,899.938,894.937,892.812,956.312,939.312,898.813,893.5,899.563,893.687,895.062,908.953,21.4663
exomlir,128,911.938,908.375,909.938,906.375,950.5,900.125,902.937,908.813,919.687,923.688,914.188,902.75,901.188,926.625,909.937,924.063,913.82,12.8535
exomlir,256,942.813,948.0,930.813,983.812,936.25,922.25,926.5,923.375,954.187,926.75,942.687,933.438,922.875,1005.5,929.25,970.0,943.656,24.0499
exomlir,512,969.625,1009.19,992.313,965.625,962.687,972.438,977.813,971.875,970.687,989.25,969.625,980.625,990.625,951.875,965.625,964.063,975.246,14.2098
exomlir,1024,1042.25,1118.44,1057.87,1070.81,1087.19,1077.12,1079.87,1059.75,1042.13,1071.25,1053.88,1063.5,1046.56,1094.75,1059.0,1048.44,1067.05,20.8202
exomlir,2048,1282.5,1276.31,1237.13,1279.0,1293.62,1311.0,1284.63,1279.19,1253.75,1263.44,1322.62,1299.56,1318.44,1383.75,1271.56,1266.31,1288.93,34.0745
exomlir,4096,1769.56,1717.87,1665.56,1713.75,1705.81,1690.0,1707.44,1749.75,1659.87,1725.56,1665.75,1725.37,1707.44,1725.37,1970.56,1914.19,1738.37,85.442
exomlir,8192,3103.19,2900.31,3040.0,2800.13,2868.13,2786.44,2842.13,2926.63,2746.19,2848.56,2907.0,2752.44,3034.5,3020.19,2949.37,2874.37,2899.97,107.266
exomlir,16384,5410.62,5764.13,6304.0,5620.0,5853.69,5777.19,5471.06,5477.25,5245.31,5583.56,6085.31,5786.19,5568.06,5423.38,6008.0,6164.94,5721.42,301.605
exomlir,32768,16645.1,18748.6,16475.9,18158.3,17760.2,19455.5,18120.4,17164.9,17061.9,16968.0,17283.0,15091.9,19047.5,18439.5,17512.9,21344.4,17829.9,1432.9
exomlir,65536,45424.4,47881.1,47960.6,50971.0,52741.6,43018.4,48410.4,48562.2,54806.1,44937.8,55103.5,55064.0,58195.9,53092.1,57002.6,54151.1,51082.7,4590.14
