compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,993.75,920.5,995.875,952.0,1195.88,955.375,946.375,1060.75,938.5,896.875,1422.44,927.5,889.125,907.375,952.25,1022.56,998.57,135.981
exocc,32,910.125,921.687,991.75,940.5,1078.38,1046.06,919.375,977.875,1028.0,1042.63,971.313,921.875,901.25,903.25,907.625,945.687,962.961,58.4495
exocc,64,941.688,912.5,916.5,916.25,978.5,916.875,933.25,914.063,996.25,927.438,911.25,984.875,933.25,911.375,944.125,951.375,936.848,27.8392
exocc,128,989.562,969.875,951.25,1019.81,929.062,942.375,1013.06,942.0,944.875,951.437,1006.44,1162.25,1087.0,1061.75,1035.31,1091.13,1006.07,67.2205
exocc,256,1108.75,1078.06,1006.69,965.437,993.938,992.125,979.812,1027.25,1022.88,996.937,988.875,1002.0,1130.94,1030.31,1443.5,987.312,1047.18,115.579
exocc,512,1177.56,1104.0,1089.62,1131.5,1064.25,1081.94,1073.69,1061.5,1064.75,1103.81,1070.62,1101.25,1051.19,1056.37,1153.56,1085.94,1091.97,35.9201
exocc,1024,1249.87,1257.56,1290.75,1238.81,1235.56,1235.13,1192.94,1232.56,1217.37,1228.81,1266.5,1202.06,1293.25,1214.81,1236.31,1320.31,1244.54,34.3309
exocc,2048,1668.56,1586.06,1873.37,1720.25,1604.69,1272.25,1121.13,1134.37,1130.56,1250.56,1238.62,2463.56,1411.25,1185.31,1388.44,1690.63,1483.73,356.905
exocc,4096,1779.0,1700.06,1657.63,1680.25,1782.81,1877.25,1640.5,1734.5,1694.06,1709.37,1869.38,1734.94,2390.69,2211.19,1981.31,1725.0,1823.0,209.37
exocc,8192,3683.56,3873.25,3767.38,3676.37,3712.63,3638.06,4493.56,3827.25,3995.94,3641.31,3874.25,3539.0,3874.25,3543.81,3808.31,3702.0,3790.68,226.206
exocc,16384,8004.88,8442.13,7975.31,8506.13,8323.19,8026.25,9540.19,7365.62,7483.69,8952.06,7897.31,7179.75,9850.25,7318.31,7222.31,7257.69,8084.07,821.35
exocc,32768,20317.2,19522.0,19542.7,24218.9,27492.7,26755.6,20726.8,20285.6,19998.1,21861.7,19278.6,21967.3,18789.2,20069.1,20408.8,20223.7,21341.1,2601.19
exocc,65536,47566.1,49437.0,46157.1,48388.0,43698.4,46455.8,46626.6,48476.7,45685.4,49106.4,46092.6,43770.1,44532.4,45786.7,45063.2,46895.8,46483.6,1768.07
exomlir,16,976.5,940.0,815.625,814.187,804.625,814.938,739.75,736.312,756.375,728.812,728.375,734.188,729.375,735.438,736.875,727.625,782.437,77.0301
exomlir,32,942.812,745.062,733.312,750.188,755.125,775.0,730.125,766.75,744.062,732.75,731.813,743.563,752.563,730.125,729.375,732.563,755.949,51.6889
exomlir,64,882.312,788.812,768.5,780.5,745.063,778.188,757.0,743.5,742.875,753.188,747.0,744.312,744.0,743.813,754.937,754.938,764.309,34.7805
exomlir,128,849.5,817.187,771.813,819.5,775.75,767.875,771.188,784.25,782.875,768.25,771.0,1121.87,797.625,806.625,837.062,797.375,814.984,85.7135
exomlir,256,1005.0,993.563,942.375,791.75,795.25,788.75,927.687,1009.94,915.75,1052.75,792.937,839.187,813.687,951.188,785.813,799.938,887.848,96.2615
exomlir,512,862.813,822.75,900.687,844.187,1075.06,1214.81,1463.19,1845.94,1150.12,872.187,1136.87,875.438,914.188,897.688,906.063,1888.81,1104.43,344.635
exomlir,1024,1963.19,1890.75,929.438,948.063,1722.63,1838.69,958.75,953.563,1546.25,1757.25,1029.44,966.937,1061.0,1538.44,985.937,2123.25,1388.35,445.314
exomlir,2048,1362.81,1189.94,1724.94,1296.25,1156.0,1243.12,1184.94,1901.12,1180.5,1214.25,1136.5,2344.62,1124.06,1141.69,2244.81,1516.94,1435.16,403.178
exomlir,4096,4403.69,1890.19,1875.81,1789.06,2909.69,4110.06,3320.62,1782.69,1723.0,4157.19,2149.81,1941.5,2544.75,1732.81,1900.56,4149.75,2648.82,1030.88
exomlir,8192,4671.44,5011.94,13399.3,4804.44,9137.5,8743.38,9712.94,9133.56,6419.25,4746.5,4633.38,4884.62,4747.38,9250.5,9775.81,4628.94,7106.3,2750.07
exomlir,16384,8548.44,17297.4,9194.0,9632.56,9259.06,8499.63,8299.44,8375.44,8049.75,17623.7,17254.8,7957.5,8761.5,17268.1,8892.81,14202.7,11194.8,3946.4
exomlir,32768,36980.7,21300.1,26449.6,21845.9,19876.6,22435.2,20851.2,22286.1,19855.4,19122.4,19741.7,20022.1,18972.1,39584.5,21411.0,21390.2,23257.8,6145.54
exomlir,65536,48598.8,48156.2,73652.7,83675.4,91005.4,47881.7,59182.8,62993.2,80908.2,53905.4,47384.2,53521.2,50426.7,47883.6,45955.8,44453.2,58724.0,15191.6
