compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,917.062,899.812,912.187,907.188,880.75,881.938,926.062,962.687,888.625,897.437,946.0,877.562,901.25,861.938,890.063,903.0,903.348,25.7311
exocc,32,887.875,889.125,883.875,875.25,884.437,912.937,995.313,970.438,880.5,929.813,920.5,938.562,901.938,884.5,899.0,890.562,909.039,34.4446
exocc,64,912.5,958.625,1106.69,1015.75,1003.19,1052.75,1178.69,809.75,817.25,816.25,842.188,1324.5,1109.06,1067.38,1034.87,1166.31,1013.48,148.702
exocc,128,1120.75,1162.25,1072.5,1289.0,1315.56,1077.81,1084.56,1155.81,1072.19,949.75,945.813,998.188,932.813,916.312,921.438,943.875,1059.91,126.709
exocc,256,1068.81,944.75,1207.12,1076.13,987.625,1122.25,1123.31,1121.37,804.375,873.438,884.25,900.313,781.688,781.25,1287.81,1702.81,1041.71,234.322
exocc,512,1942.75,1344.19,1184.94,1060.31,1119.0,1268.31,1370.56,1741.62,1888.0,2366.81,1680.56,1341.12,1032.56,1063.75,1143.5,1040.25,1411.77,397.436
exocc,1024,2085.69,2175.19,1300.69,1360.19,1334.38,1531.31,920.375,966.937,1013.75,942.188,926.062,921.938,921.125,940.625,922.75,918.313,1198.84,415.237
exocc,2048,1213.44,1241.06,1226.19,1306.0,1156.81,1165.31,1103.63,1233.06,1186.69,1196.94,1081.38,1176.38,1213.31,1339.94,1206.56,1319.37,1210.38,70.4199
exocc,4096,1751.94,1751.44,1598.31,1750.19,1766.0,2928.0,2745.0,2460.31,2335.94,3465.06,4892.06,3497.25,2544.06,2091.56,2211.5,2228.81,2501.09,867.141
exocc,8192,4783.5,4414.25,4494.06,4434.31,4615.12,4580.13,4714.19,5308.63,4533.0,4286.63,4769.06,4990.62,4527.5,4696.0,4874.81,4695.5,4669.83,248.679
exocc,16384,10041.2,9045.12,9729.69,11288.5,9560.56,9347.31,9205.88,8764.25,8908.75,8884.88,9700.31,9650.44,9595.75,8910.06,10425.5,9358.75,9526.06,654.199
exocc,32768,22745.4,23453.6,24649.3,24049.4,21458.6,21409.1,21618.1,22963.8,22719.9,21639.5,21603.1,22135.9,23192.2,24878.5,23772.6,22801.1,22818.1,1131.67
exocc,65536,47448.1,48644.7,47923.2,50760.8,49407.1,49104.1,48966.8,49317.2,52198.8,53797.4,56272.9,55205.3,56049.1,62900.5,65489.3,59431.2,53307.3,5528.71
exomlir,16,949.063,919.937,886.062,893.875,897.75,890.625,1051.69,903.0,893.125,921.937,1089.81,891.875,887.062,911.125,922.75,892.375,925.129,59.7407
exomlir,32,933.625,1244.62,1094.25,964.562,957.312,903.563,899.813,893.25,843.875,931.125,895.5,940.437,904.875,894.0,926.75,895.188,945.172,96.2864
exomlir,64,954.75,994.687,947.438,1005.06,1194.25,1053.75,1131.31,945.438,967.062,925.813,961.812,943.187,905.687,913.688,905.313,906.625,978.492,83.1099
exomlir,128,938.375,970.375,974.812,915.125,945.312,990.25,1137.12,1177.87,1176.12,1103.06,1234.37,976.938,919.813,936.0,970.875,1121.94,1030.52,107.853
exomlir,256,1090.69,1066.56,1017.25,963.938,964.0,1211.31,1367.69,1289.12,1323.31,1004.31,951.375,958.5,1121.44,976.875,958.563,1134.81,1087.48,141.502
exomlir,512,1036.44,1104.06,1523.63,1067.13,1059.56,1328.31,1206.0,1135.19,1029.94,1116.06,1091.13,1176.5,1422.94,1050.88,1266.13,1364.94,1186.18,152.228
exomlir,1024,1438.37,1474.13,1306.25,1590.0,1430.5,1326.56,1568.38,1315.88,1352.5,1300.31,1561.87,1786.5,1547.94,1750.88,1395.13,1396.69,1471.37,151.642
exomlir,2048,3333.69,1775.75,2758.94,2003.12,1655.0,1561.12,1608.94,1398.63,1520.62,1557.81,1728.69,1794.19,1880.44,1944.81,2049.75,1904.25,1904.73,493.714
exomlir,4096,4324.44,4416.31,4078.56,5307.75,3632.5,4642.19,3237.87,3191.81,2798.56,2727.56,3838.63,3823.56,3038.56,3219.31,3687.94,3857.0,3738.91,705.083
exomlir,8192,8110.19,7184.88,7636.81,5588.13,6117.31,5239.94,5748.19,5192.56,7260.44,6442.5,5972.62,5200.75,5129.06,5304.63,5655.5,5772.44,6097.25,955.606
exomlir,16384,14025.9,12489.3,12469.7,10512.5,10722.9,10391.8,9806.31,9907.5,13618.1,11635.3,11918.2,12996.2,14604.4,16243.7,17782.2,19171.9,13018.5,2792.85
exomlir,32768,29221.1,21812.8,19466.7,18670.4,18774.2,23202.6,25293.0,19047.3,16677.9,18278.3,18554.9,19516.7,23845.1,23159.0,22775.3,21085.6,21211.3,3240.78
exomlir,65536,47804.9,49219.2,64143.9,53971.3,54523.5,47999.4,51722.2,52386.8,52606.2,64571.6,52184.5,62126.9,47228.8,43899.8,36689.0,41989.9,51441.7,7652.06
