compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,1019.81,929.688,900.25,1082.06,993.813,908.437,913.875,890.438,905.875,894.812,880.063,887.625,910.375,896.687,896.813,898.687,925.582,56.4569
exocc,32,918.687,895.812,1045.06,897.75,995.625,1133.31,1004.69,952.188,967.937,1090.69,1026.38,1055.69,1043.06,1103.44,1003.81,966.687,1006.3,71.2477
exocc,64,954.875,889.25,894.062,915.437,912.5,922.5,906.188,915.625,887.625,933.938,918.563,1187.13,1073.06,954.875,933.875,933.5,945.812,77.4969
exocc,128,977.812,946.938,1126.88,935.813,991.687,1027.19,1039.69,1007.38,972.438,992.437,979.125,935.688,985.875,962.563,942.687,957.438,986.352,48.3519
exocc,256,1116.81,1034.87,1051.44,998.0,1000.5,1058.87,1037.94,1089.5,1065.5,1007.31,1020.56,991.062,1029.25,1002.87,1021.38,1024.5,1034.4,34.8928
exocc,512,1121.94,1186.81,1197.75,1135.0,1135.94,1106.44,1107.38,1172.0,1103.19,1028.12,1091.87,996.187,1038.44,1178.13,1022.12,1018.19,1102.47,65.2901
exocc,1024,1141.31,1116.56,1086.12,1123.25,1096.56,1089.37,1124.88,1093.62,1070.44,1083.5,1106.88,1129.5,1075.81,1111.12,1056.5,1128.06,1102.09,24.3315
exocc,2048,1264.69,1301.37,1293.69,1257.25,1220.31,1575.06,1505.44,1233.5,1312.25,1317.44,1328.25,1359.13,1287.75,1415.13,1488.62,1432.87,1349.55,104.518
exocc,4096,1659.13,1479.56,1613.88,1484.75,1462.75,1524.81,1450.69,1533.88,1723.13,1604.44,1862.88,1599.25,1610.19,1785.75,1682.63,1841.44,1619.95,131.726
exocc,8192,2444.06,2135.44,2110.12,2132.06,2257.13,2408.0,2402.69,2176.06,2387.69,2044.69,2198.94,2359.69,2301.56,2449.69,2551.44,2116.25,2279.72,152.962
exocc,16384,5966.5,6147.63,6663.56,6066.13,3709.0,4414.81,4448.88,4190.06,3412.81,4055.31,4841.19,5548.87,4164.75,4309.5,4714.31,4502.44,4822.23,961.256
exocc,32768,9439.69,8965.0,9552.63,8488.13,8611.56,10137.2,8509.87,8663.81,8824.56,8096.25,7368.94,8371.94,8582.63,8165.94,9559.94,8444.62,8736.42,675.37
exocc,65536,19496.6,19703.5,20035.0,18921.3,17789.9,19466.4,20022.9,17496.4,22187.8,19073.8,20447.4,18740.3,16975.1,13000.1,15901.6,17868.9,18570.4,2116.03
exocc,131072,37175.3,39616.6,39143.6,39351.9,47319.4,40538.9,38623.1,37225.3,36538.9,38287.6,38548.5,37340.0,38266.7,37577.3,40137.5,45125.6,39426.0,2906.62
exocc,262144,78147.5,73257.4,72834.6,72336.7,74603.4,69911.6,68836.3,74192.6,68423.9,80723.7,110603.0,77283.7,85790.9,87730.3,101527.0,85296.5,80093.7,11864.0
exocc,524288,154804.0,138455.0,143261.0,133270.0,132911.0,135040.0,130390.0,132699.0,134532.0,133683.0,137899.0,137546.0,142161.0,137373.0,138822.0,134081.0,137308.0,5832.42
exocc,1048576,249771.0,247333.0,246573.0,244171.0,247159.0,239712.0,247020.0,254862.0,250703.0,258624.0,245328.0,268484.0,244355.0,253428.0,244564.0,267537.0,250602.0,8216.12
