compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,1090.37,1388.63,1020.94,1064.0,1027.81,944.625,965.687,1168.31,1019.75,978.625,907.375,935.875,967.562,913.562,954.25,964.937,1019.52,120.102
exocc,32,1034.31,1015.37,966.062,997.875,959.063,1041.94,984.5,1156.44,1013.13,989.062,1027.44,949.125,1063.56,1099.69,1081.31,1011.31,1024.39,55.1076
exocc,64,1208.69,1038.12,1057.44,1153.13,977.125,1492.87,1151.0,1088.13,957.25,1012.94,972.875,911.625,965.187,931.5,937.25,962.5,1051.1,147.371
exocc,128,1060.44,901.25,904.812,1010.75,932.813,1054.12,955.438,975.062,995.812,1022.37,1022.81,949.063,934.187,967.375,1069.06,964.437,982.488,53.4094
exocc,256,1019.63,941.188,1006.75,1082.31,999.687,1053.06,1086.63,1182.88,1127.88,1078.0,1142.06,1111.19,997.875,1266.25,1560.44,1626.87,1142.67,193.511
exocc,512,1931.88,2257.12,2538.31,1262.12,1061.25,1032.88,1048.0,1082.06,1074.56,1024.75,1177.5,1206.31,1222.75,1256.44,1365.44,1955.44,1406.05,483.165
exocc,1024,2260.31,2516.87,1851.69,1331.94,1294.5,1220.5,1147.0,1162.06,1346.94,1811.94,2128.75,2140.5,1419.69,1384.44,1110.75,1145.37,1579.58,465.135
exocc,2048,1553.31,1587.94,1427.37,1167.5,1237.75,1288.87,1186.13,1206.38,1165.81,1307.5,1098.63,1188.06,1141.94,1196.69,1146.88,1441.62,1271.4,151.395
exocc,4096,1801.31,1632.88,1817.56,1640.19,2029.81,1788.81,1709.94,1756.94,1781.25,1733.06,1552.63,1543.06,1669.06,1554.56,2125.87,1775.19,1744.51,159.928
exocc,8192,2954.31,2625.0,2768.19,2670.31,2932.19,2711.56,2810.0,2834.69,2711.06,2753.75,2977.5,2914.5,4525.13,4822.81,3343.56,3861.56,3138.51,673.812
exocc,16384,9152.06,8788.06,8874.12,8188.06,9580.25,8359.94,9198.19,6917.19,8100.31,8708.75,7235.75,6406.75,9159.06,8189.94,7021.44,8329.75,8263.1,929.366
exocc,32768,21810.3,22047.4,23024.9,21723.2,22277.1,21000.9,25410.1,37938.2,29900.1,20524.4,23823.5,38217.6,14588.4,13566.7,20583.9,22393.3,23676.9,6743.11
exocc,65536,45280.2,48077.6,45815.7,46370.1,47194.7,49475.3,49703.9,48951.4,49005.0,48623.6,45983.7,48672.4,45407.3,50833.9,54348.7,47335.0,48192.4,2342.22
exocc,131072,93001.0,98322.3,95266.6,96511.3,105468.0,96083.0,96893.7,97009.6,98201.8,93760.4,96451.3,96468.9,89480.3,94745.1,97203.4,90906.8,95985.9,3544.19
exocc,262144,190013.0,198001.0,185411.0,192888.0,189244.0,189902.0,197870.0,188586.0,191933.0,188489.0,198535.0,199129.0,212090.0,192040.0,225106.0,204697.0,196496.0,10281.3
exocc,524288,432156.0,437859.0,455167.0,391420.0,404356.0,412527.0,373356.0,371375.0,374946.0,362553.0,362264.0,358571.0,365834.0,355950.0,365222.0,368938.0,387031.0,31676.3
