compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,955.562,990.0,914.687,1009.31,939.125,907.062,925.437,997.25,1007.56,1002.94,940.688,920.75,902.25,893.5,1016.06,939.312,953.844,43.1788
exocc,32,978.563,873.125,883.938,873.937,869.25,895.187,868.688,866.563,929.688,911.188,936.375,899.938,893.312,903.125,896.0,917.875,899.797,30.1307
exocc,64,923.063,901.312,910.875,900.937,902.25,929.187,904.313,915.687,912.375,910.812,910.062,909.125,905.875,903.188,933.625,921.75,912.152,10.0482
exocc,128,924.062,916.563,921.375,3001.0,913.5,936.125,923.625,924.937,922.125,962.062,943.5,944.688,927.375,923.312,949.313,944.937,1061.16,517.469
exocc,256,1071.88,1036.12,1046.38,1370.75,1117.56,979.313,949.062,943.562,974.312,956.938,954.187,961.063,956.25,981.375,930.437,1034.94,1016.51,108.381
exocc,512,1013.13,1003.37,1031.31,991.813,974.25,1031.25,976.5,981.062,980.625,1020.75,991.5,974.875,982.687,1063.31,967.188,975.313,997.434,27.3009
exocc,1024,1101.56,1124.94,1110.06,1096.19,1137.13,1097.0,1447.19,1111.75,1080.94,1126.06,1104.38,1112.81,1115.06,1112.13,1126.56,1100.0,1131.48,85.3423
exocc,2048,1317.31,1311.12,1301.88,1293.5,1298.94,1326.56,1362.06,1329.06,1311.94,1320.56,1333.31,1326.31,1377.69,1275.44,1279.75,1293.75,1316.2,27.2383
exocc,4096,1885.56,1768.12,1883.13,1945.5,1919.19,2011.81,1799.06,1869.0,1919.56,2025.69,1872.13,1836.87,2148.81,1890.31,2078.69,1835.75,1918.07,102.55
exocc,8192,2951.94,2880.69,2949.56,3140.81,2938.81,3271.87,3001.94,2919.38,2897.19,2817.94,2980.31,2845.31,2963.37,2837.44,2826.5,2920.31,2946.46,118.173
exocc,16384,6673.31,6174.37,6857.31,5533.31,5563.94,6075.38,10067.6,5667.37,5612.31,5746.06,5592.88,5913.56,5915.63,6227.94,5792.56,5514.25,6182.99,1109.92
exocc,32768,11003.6,16668.0,12452.8,12140.8,13646.7,11947.0,14279.9,13881.7,12151.1,11630.9,12074.0,13586.6,11837.2,13222.2,12204.1,12357.6,12817.8,1369.51
exocc,65536,29693.7,30285.6,30650.4,32815.7,30808.6,28914.2,26621.4,29961.9,29106.4,32328.4,29042.5,28498.7,30559.4,29042.2,30548.7,26928.4,29737.9,1653.96
exocc,131072,69682.9,72891.9,65774.0,64731.9,66193.2,68834.4,67296.6,69913.3,66731.5,67412.6,66229.3,72905.8,72378.0,66500.8,72375.7,65723.1,68473.4,2849.91
exocc,262144,135356.0,139335.0,136392.0,144980.0,136165.0,145914.0,138506.0,139941.0,145314.0,135363.0,136091.0,135782.0,135935.0,141729.0,147677.0,136671.0,139447.0,4314.25
exocc,524288,260647.0,276652.0,258403.0,263922.0,262380.0,261935.0,266115.0,267245.0,288466.0,283208.0,260313.0,258936.0,269537.0,287040.0,261320.0,259356.0,267842.0,10280.5
exocc,1048576,524132.0,527937.0,513354.0,509480.0,514813.0,510936.0,513428.0,508786.0,529007.0,514637.0,512318.0,518428.0,516407.0,511254.0,517201.0,511041.0,515822.0,6231.97
exocc,2097152,990566.0,1034470.0,1018490.0,1002970.0,1035930.0,1002620.0,1007310.0,1069290.0,1055950.0,1019320.0,1040800.0,1109940.0,1031840.0,1019270.0,1086790.0,1020810.0,1034150.0,32381.8
exocc,4194304,2022920.0,2082710.0,2023220.0,2030230.0,2066700.0,2067720.0,2004880.0,2128920.0,2010930.0,2201390.0,2043050.0,2036790.0,2025290.0,2043040.0,2023910.0,2035420.0,2052940.0,50232.1
exocc,8388608,4294270.0,4079540.0,4122470.0,4228360.0,3982910.0,3941810.0,3923770.0,3917910.0,3697320.0,4165300.0,4162360.0,3731280.0,3686770.0,3952610.0,4057020.0,3712300.0,3978500.0,195412.0
exocc,16777216,8541990.0,7636890.0,8515180.0,7763930.0,8170940.0,7834290.0,8446310.0,7984870.0,7534920.0,7692150.0,7668410.0,7083300.0,8070640.0,7469840.0,7426840.0,7740410.0,7848810.0,414762.0
