compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,1153.69,1058.13,1127.25,1483.94,1090.69,1030.25,975.687,1056.12,1058.37,1045.88,1035.5,1041.63,1050.06,962.312,999.125,974.687,1071.46,121.557
exocc,32,1045.75,1053.25,1111.94,1006.87,994.813,962.0,1047.25,1013.44,979.063,958.937,911.437,993.938,1035.31,971.25,1002.25,972.875,1003.77,47.5963
exocc,64,1021.56,1008.94,1032.31,1025.81,963.5,981.0,990.687,1045.87,1086.56,1076.06,985.562,982.25,1139.0,1218.12,977.625,985.0,1032.49,68.6416
exocc,128,1232.13,1269.06,1112.19,1207.44,1231.0,1061.38,1091.5,1065.63,1073.0,1120.38,1102.5,1070.81,1114.0,1057.44,1037.56,1101.94,1121.75,72.1032
exocc,256,1229.5,1112.25,1257.94,1141.63,1164.31,1416.81,1212.56,1194.12,1192.19,1299.69,1241.5,1249.25,1243.81,1279.12,1191.81,1244.81,1229.46,70.3926
exocc,512,1456.38,1310.31,1361.62,1361.31,1385.31,1323.56,1283.63,1598.38,1463.81,1479.25,1626.37,1532.19,1403.75,1375.38,1455.56,1453.12,1429.37,98.3004
exocc,1024,1863.31,1747.81,1692.69,1914.5,1803.19,2106.0,1873.13,1702.31,1772.62,1877.44,1995.5,2313.62,2171.0,1811.38,1759.38,1920.56,1895.28,174.62
exocc,2048,2464.44,2505.31,2225.56,2331.13,2632.19,2252.0,2273.56,2265.5,2295.5,2443.25,2195.56,2161.0,2362.19,2050.81,2287.62,2418.37,2322.75,144.421
exocc,4096,3471.56,3605.31,3723.13,3683.69,3416.31,3214.19,3531.06,3864.44,3629.75,4019.37,3570.25,2472.75,6004.81,5952.56,5118.0,5565.94,4052.7,1031.25
exocc,8192,10010.4,7211.75,5460.5,5366.5,4688.5,4267.44,4959.25,4827.75,4548.56,4422.63,5053.31,6422.94,6025.25,5709.06,6582.44,5770.62,5707.93,1419.05
exocc,16384,13006.3,12891.7,13579.0,12200.1,12336.4,12571.2,12583.3,11967.8,12299.0,13329.8,20770.7,12418.0,12692.1,15496.9,9807.56,8954.44,12931.5,2542.77
exocc,32768,26841.6,23038.5,21386.4,22606.8,21629.9,21706.9,22619.6,24048.3,24031.7,22766.6,23875.5,22545.2,22825.3,21285.3,23920.0,27675.5,23300.2,1800.71
exocc,65536,48998.3,46070.7,45663.8,49651.0,45749.4,48785.9,46506.9,46052.3,45672.3,46131.4,46753.6,48769.8,48309.3,45485.7,45976.2,43423.5,46750.0,1675.74
exocc,131072,88420.4,93862.7,88722.6,96380.0,93903.9,90559.7,93817.4,99977.1,89282.0,93503.6,90412.3,101168.0,108566.0,100770.0,93539.9,103583.0,95404.3,5873.87
exocc,262144,213617.0,194120.0,190969.0,218122.0,208072.0,191602.0,185950.0,178023.0,179635.0,173838.0,174358.0,176569.0,180135.0,177626.0,190341.0,179849.0,188302.0,14039.6
exocc,524288,355798.0,355511.0,382965.0,384350.0,356802.0,362991.0,363726.0,374833.0,396871.0,385124.0,375534.0,357556.0,365608.0,365160.0,362938.0,367054.0,369551.0,12398.9
exocc,1048576,741217.0,722598.0,785365.0,709858.0,721853.0,673384.0,684448.0,660917.0,687624.0,671900.0,640335.0,647829.0,651726.0,706308.0,691410.0,644041.0,690051.0,39804.1
exocc,2097152,1271390.0,1350730.0,1344940.0,1377250.0,1350070.0,1296770.0,1336760.0,1249900.0,1194590.0,1321080.0,1181560.0,1211860.0,1230150.0,1202820.0,1186930.0,1181390.0,1268010.0,71139.9
exocc,4194304,2380770.0,2559480.0,2682500.0,2359210.0,2283720.0,2314450.0,2287920.0,2281290.0,2365370.0,2271830.0,2557320.0,2362560.0,2290910.0,2370080.0,2361240.0,2280650.0,2375580.0,120429.0
exocc,8388608,4806720.0,4629980.0,5167140.0,5018670.0,4347760.0,4309280.0,4506390.0,4413700.0,4292200.0,4667450.0,4481600.0,4262640.0,4297190.0,4363590.0,4467100.0,4386330.0,4526110.0,268683.0
exocc,16777216,9443560.0,8598940.0,9577670.0,8573940.0,8883980.0,8907910.0,9461690.0,8773930.0,8710620.0,8954900.0,8926890.0,8700860.0,9450590.0,8719260.0,9075400.0,9302360.0,9003910.0,338461.0
exomlir,16,732.25,734.0,727.313,722.875,729.438,713.688,713.687,714.188,773.25,717.937,713.625,722.437,714.5,716.125,713.938,715.938,723.449,15.0663
exomlir,32,1531.88,715.75,716.937,714.813,717.75,715.687,716.937,715.688,716.937,715.25,715.938,717.5,715.312,716.0,715.188,718.75,767.27,203.898
exomlir,64,750.187,736.187,726.938,723.062,723.375,723.25,723.562,726.625,724.937,726.438,725.625,725.5,723.75,728.437,725.375,728.063,727.582,6.81384
exomlir,128,773.187,1534.0,779.375,728.25,721.562,733.812,724.0,726.063,731.5,734.25,722.938,1653.12,751.125,725.437,723.875,722.375,842.805,294.398
exomlir,256,760.625,740.437,747.875,745.75,740.937,751.563,738.0,743.5,750.313,751.375,744.937,754.0,748.25,755.188,742.438,750.312,747.844,6.0785
exomlir,512,800.25,844.688,799.062,785.375,779.062,780.563,812.313,777.812,780.625,784.437,781.312,787.938,794.687,810.625,796.125,781.375,793.516,17.5394
exomlir,1024,871.5,851.25,854.375,874.187,873.813,1646.13,894.0,871.938,863.5,879.25,872.438,861.875,882.0,935.75,872.688,863.5,923.012,193.792
exomlir,2048,1089.0,1034.63,1050.0,1060.44,1035.88,1082.0,1008.56,1063.94,1071.25,1056.06,1026.5,1028.81,1042.56,1057.44,1050.19,1089.69,1052.93,23.1498
exomlir,4096,1430.44,1401.75,1498.44,1401.88,1522.88,1428.19,1416.5,1451.38,1389.19,1462.25,1463.87,1411.81,1470.81,2504.75,1374.44,1419.56,1503.01,270.11
exomlir,8192,2271.44,2132.25,2294.25,2159.44,2153.13,2170.06,2430.63,2196.0,2145.75,2199.06,2187.31,2139.25,2184.87,2106.75,2156.13,2227.31,2197.1,79.4882
