compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,1096.81,1061.69,1144.25,1032.87,1072.56,1058.12,983.938,1060.63,1042.69,947.25,985.75,968.438,996.5,987.625,1321.19,1083.56,1052.74,89.1627
exocc,32,1057.31,971.313,1037.19,978.562,933.375,956.25,1035.56,1060.13,1051.19,1310.37,987.875,1082.31,1061.12,1016.81,1148.13,1091.38,1048.68,89.2382
exocc,64,1226.87,1202.62,1143.69,1166.69,1081.13,1287.5,1046.69,1117.88,1086.19,1105.13,1126.0,1175.25,1039.87,1109.44,1047.12,1199.0,1135.07,70.6358
exocc,128,1226.75,1263.69,1187.19,1147.25,1055.81,1269.88,1507.0,1488.0,1370.37,1225.94,1187.19,1149.44,1164.12,1192.75,1146.75,1091.69,1229.61,127.771
exocc,256,1071.75,1505.0,1066.19,987.875,1106.38,1030.5,1038.31,1030.87,1091.62,1219.31,1170.25,1237.69,1188.81,1083.06,1070.44,1024.13,1120.14,126.098
exocc,512,1379.81,1733.0,1091.87,1103.06,1611.88,1054.87,1094.38,1153.56,1130.81,1122.87,1081.19,1088.19,1081.56,1123.37,1072.25,1055.37,1186.13,205.416
exocc,1024,1239.56,1295.56,1242.44,1274.38,1297.75,1353.13,1259.25,1197.0,1281.5,1198.56,1196.13,1235.37,1253.88,1272.0,1172.88,1207.75,1248.57,47.3284
exocc,2048,1605.25,1563.81,1695.5,1481.31,1716.38,1637.56,1859.0,1628.19,1528.56,1545.25,1688.69,1592.56,1732.31,1723.75,1600.56,1610.5,1638.07,94.2098
exocc,4096,2616.69,2574.88,2531.69,2663.88,2621.06,3523.25,2961.94,3025.38,2799.31,3010.75,3046.12,2790.06,3008.94,2711.44,2923.56,2904.19,2857.07,250.005
exocc,8192,6955.75,7053.06,7031.94,6086.62,6070.31,6734.75,6721.75,6392.12,6650.25,6991.19,7253.06,6984.31,7317.44,6749.5,6620.75,6789.19,6775.13,360.651
exocc,16384,14052.8,14916.4,21509.7,12653.1,13749.6,17658.9,11924.1,11845.2,13084.3,12375.1,11238.7,11531.4,11699.4,10783.9,10763.0,11504.1,13205.6,2839.01
exocc,32768,22851.8,24203.0,24867.1,25796.8,23522.0,24817.1,24580.1,23610.4,24079.2,24507.0,25562.2,26861.3,25212.0,23419.7,22925.6,24491.7,24456.7,1079.51
exocc,65536,51194.4,51014.6,53704.1,50088.4,51745.9,48846.9,49300.0,50438.8,50208.6,55346.0,48377.8,48929.8,50155.5,50886.9,50209.1,51796.2,50765.2,1795.5
exocc,131072,115077.0,104060.0,105107.0,104405.0,106576.0,111405.0,104497.0,105980.0,105998.0,105239.0,113796.0,124804.0,111026.0,106368.0,120889.0,121300.0,110408.0,6863.19
exocc,262144,253877.0,256526.0,247582.0,238385.0,248779.0,245254.0,226919.0,220952.0,214123.0,221472.0,217280.0,212968.0,217085.0,218252.0,210392.0,232962.0,230175.0,15925.0
exocc,524288,463054.0,469463.0,475418.0,488662.0,466639.0,503595.0,471309.0,483040.0,473585.0,466763.0,510671.0,499817.0,501448.0,541845.0,503799.0,521840.0,490059.0,22871.9
exocc,1048576,1007460.0,1043850.0,1030160.0,1023570.0,973514.0,950530.0,920820.0,937068.0,969494.0,908867.0,903876.0,1005310.0,996652.0,913363.0,900507.0,1006190.0,968202.0,49398.9
exocc,2097152,1868760.0,1814330.0,1886350.0,1903580.0,1914810.0,1891870.0,1738330.0,1751640.0,1859680.0,1749200.0,1757050.0,1853320.0,1768380.0,1901950.0,1826700.0,1940060.0,1839130.0,67794.2
exocc,4194304,3129100.0,3111880.0,3142530.0,3362740.0,3086670.0,3124630.0,3035950.0,3044690.0,3053060.0,3025180.0,3064520.0,3269910.0,3058980.0,3141090.0,3059730.0,3045610.0,3109770.0,90968.3
exocc,8388608,6510650.0,6621480.0,6434440.0,6166480.0,5721410.0,5696090.0,5858390.0,5913610.0,5812530.0,7012650.0,6441690.0,5988000.0,5771900.0,5853260.0,6572880.0,5902160.0,6142350.0,400323.0
