compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,975.375,941.938,958.375,1045.81,1126.0,902.375,968.375,907.5,890.688,935.813,902.062,962.625,902.5,912.5,886.313,985.937,950.262,63.5257
exocc,32,1267.12,941.437,919.062,921.75,934.313,901.313,940.437,909.875,898.25,946.812,904.062,932.687,921.312,917.438,990.25,995.125,952.578,88.4105
exocc,64,951.438,1126.06,1004.31,928.313,1023.25,981.875,959.187,955.75,1018.25,972.938,935.187,936.812,936.062,963.687,995.625,1020.94,981.855,50.1703
exocc,128,1088.75,1094.94,1124.31,1105.69,1027.5,1037.69,1091.5,1080.25,1007.0,946.313,981.625,962.0,1007.75,1094.81,972.188,996.563,1038.68,58.3735
exocc,256,1076.38,1046.38,1062.37,997.187,982.0,1009.69,1097.44,1143.88,1016.94,980.125,1017.19,1027.44,1112.12,1038.44,998.062,1060.19,1041.61,47.7448
exocc,512,1074.62,1000.69,1148.06,1050.0,1063.44,1053.0,1069.75,1131.69,1109.75,1117.0,1048.75,1085.94,1052.25,1079.63,1062.31,1078.12,1076.56,36.3274
exocc,1024,1294.75,1264.31,1140.25,1217.94,1157.37,1225.5,1186.81,1208.0,1200.12,1173.12,1207.75,1206.75,1185.0,1154.38,1276.62,1170.69,1204.34,44.1776
exocc,2048,1466.62,1415.31,1585.88,1591.56,1564.31,1617.0,1450.56,1509.19,1461.44,1490.75,1517.0,1556.63,1417.62,1614.31,1459.25,1441.63,1509.94,69.6685
exocc,4096,2968.0,3049.87,2982.5,3025.0,3239.81,3293.37,3235.13,3181.63,3317.75,3077.81,2961.94,3091.81,2945.0,3141.19,2922.19,2847.81,3080.05,142.088
exocc,8192,5928.44,5298.63,5848.87,5367.63,5886.5,5335.31,4927.06,5376.81,5601.25,5886.44,5107.37,6825.94,5985.44,5436.94,5634.06,5715.19,5635.12,444.742
exocc,16384,13904.1,15880.6,18207.1,13163.2,13586.6,15008.8,9726.56,11305.8,10460.6,9804.56,8891.37,11008.4,10151.7,8887.81,9575.06,10529.6,11880.7,2763.34
exocc,32768,23097.4,22668.4,24116.6,23275.3,23622.1,23718.4,23136.1,24459.6,24386.7,23504.9,26708.0,27290.4,24598.8,22889.3,24790.6,23754.3,24126.1,1287.99
exocc,65536,51026.4,51112.1,50537.9,52087.6,49370.4,51052.3,52763.9,51626.7,48687.2,50407.7,50034.0,49687.6,50704.0,49127.1,48218.5,48425.7,50304.3,1320.18
exocc,131072,101398.0,104234.0,103413.0,110794.0,100249.0,110133.0,115867.0,103899.0,106302.0,106860.0,102561.0,112674.0,112515.0,106932.0,117958.0,114050.0,108115.0,5432.23
exocc,262144,256887.0,252208.0,282096.0,224949.0,243725.0,223704.0,225606.0,210982.0,211592.0,202325.0,212678.0,216112.0,202936.0,205794.0,205036.0,202859.0,223718.0,23393.9
exocc,524288,434026.0,437754.0,461665.0,487405.0,460107.0,482646.0,483104.0,486885.0,448239.0,465896.0,463068.0,465838.0,463239.0,466261.0,456437.0,457904.0,463780.0,15806.3
exocc,1048576,981121.0,952447.0,924609.0,996492.0,927950.0,952785.0,874296.0,878978.0,833524.0,823730.0,820214.0,831618.0,868704.0,814422.0,817848.0,823116.0,882616.0,63939.3
exocc,2097152,1662840.0,1754990.0,1681470.0,1760030.0,1820450.0,1711690.0,1755560.0,1747030.0,1768570.0,1692100.0,1670560.0,1697440.0,1550060.0,1659360.0,1539850.0,1540880.0,1688310.0,84396.7
exocc,4194304,3300370.0,3160270.0,3199720.0,3200240.0,3564910.0,3307630.0,3134900.0,2997680.0,3029420.0,3058020.0,3144140.0,3097390.0,3028530.0,3015440.0,3032750.0,3005470.0,3142300.0,150664.0
exocc,8388608,6378370.0,6249080.0,6258820.0,6054840.0,5644190.0,5661810.0,5795200.0,6096530.0,5681250.0,6076990.0,6087780.0,6051460.0,6047670.0,6041260.0,5794870.0,5680520.0,5975040.0,234303.0
exocc,16777216,12337500.0,11561100.0,12700700.0,11404200.0,12001600.0,11537900.0,12309900.0,11654500.0,11590500.0,11907300.0,11924400.0,11815400.0,12290700.0,12160700.0,11593500.0,11998300.0,11924300.0,363441.0
exomlir,16,824.813,735.687,731.937,734.875,731.688,730.437,733.875,733.625,733.062,734.375,707.937,733.313,731.938,733.25,737.5,731.375,737.48,24.199
exomlir,32,743.813,735.937,738.75,740.063,733.25,737.5,732.75,749.375,737.562,735.875,733.312,736.125,732.687,737.062,734.687,738.938,737.355,4.37511
exomlir,64,753.75,749.063,746.125,745.0,743.188,742.875,749.188,744.0,752.313,747.813,747.063,744.125,743.75,742.937,747.063,742.063,746.27,3.46394
exomlir,128,780.562,763.25,768.625,761.25,763.875,760.438,756.312,759.937,759.0,767.562,757.437,761.0,761.313,756.937,762.313,758.75,762.41,5.9384
exomlir,256,786.687,777.875,775.625,773.25,779.625,775.75,774.625,783.063,787.187,788.937,787.188,782.875,783.688,785.75,791.375,789.5,782.688,5.84589
exomlir,512,839.437,836.437,832.938,821.625,841.313,821.062,832.625,832.312,826.938,839.938,829.687,821.938,834.937,828.812,825.75,831.813,831.098,6.48311
exomlir,1024,903.75,887.375,909.062,950.687,900.938,920.75,1018.37,919.687,900.875,898.125,892.0,882.75,891.813,993.125,953.563,905.25,920.508,39.0973
exomlir,2048,1110.88,1099.31,1067.19,1129.69,1071.0,1075.63,1076.69,1088.94,1090.94,1094.63,1166.87,1102.81,1092.25,1075.19,1074.38,1078.63,1093.44,25.6504
exomlir,4096,1592.81,1545.63,1465.56,1502.88,1593.81,1535.25,1529.75,1511.69,1545.38,1598.25,1509.56,1533.44,1520.44,1536.75,1503.69,1487.87,1532.05,37.7477
exomlir,8192,3273.88,3299.94,3335.94,3204.44,3226.31,3243.81,3403.87,3292.63,3250.81,3918.94,3442.75,3267.06,3345.88,3255.31,3216.19,3214.62,3324.52,172.491
exomlir,16384,5898.88,6079.31,5910.75,5894.69,5965.19,5868.56,5676.0,5793.56,5741.56,5951.31,5922.94,5755.37,6479.94,6357.19,5919.69,5830.5,5940.34,211.778
exomlir,32768,10880.8,10419.6,11323.1,11009.7,10805.4,11221.0,10831.4,11490.9,10972.8,11167.2,11211.8,11191.3,11182.2,11351.8,12498.8,10866.1,11151.5,445.422
exomlir,65536,21940.3,21644.6,22808.9,22810.3,20464.5,20613.2,21539.9,24039.2,22292.6,20587.8,20664.8,20917.9,20899.2,20829.8,21087.3,22920.4,21628.8,1070.26
exomlir,131072,47799.8,71412.4,105744.0,70509.2,45969.2,46640.4,45482.8,47472.9,53613.7,87906.8,115821.0,63390.2,46216.7,44317.1,44962.3,45377.0,61414.7,23117.1
exomlir,262144,124196.0,121461.0,118728.0,138253.0,216798.0,172517.0,136472.0,142640.0,176324.0,158353.0,142825.0,141963.0,145637.0,176805.0,212574.0,213526.0,158692.0,32824.0
exomlir,524288,402363.0,326054.0,379490.0,314415.0,286360.0,301606.0,299386.0,288858.0,279246.0,292139.0,297472.0,292119.0,294265.0,294577.0,298852.0,326929.0,310883.0,34108.9
exomlir,1048576,711827.0,699603.0,725470.0,697148.0,700765.0,721943.0,777249.0,690001.0,698770.0,692649.0,791511.0,709385.0,743536.0,702431.0,735323.0,695457.0,718317.0,30183.6
exomlir,2097152,1506020.0,1438800.0,1485420.0,1516250.0,1494690.0,1421010.0,1464700.0,1491130.0,1451970.0,1450820.0,1564880.0,1660540.0,1553180.0,1419320.0,1442820.0,1448900.0,1488150.0,62999.6
exomlir,4194304,2936750.0,3017960.0,2796370.0,3059330.0,2860730.0,2947330.0,2878940.0,3115290.0,2851710.0,2964090.0,2785220.0,2982230.0,2769100.0,2974190.0,2750440.0,2978890.0,2916780.0,108032.0
exomlir,8388608,5993550.0,5649190.0,5757110.0,6025840.0,5619440.0,6002390.0,6009000.0,5635490.0,5742300.0,5817770.0,5623180.0,5511590.0,5684770.0,6119790.0,5593560.0,5674820.0,5778740.0,190097.0
exomlir,16777216,12306000.0,11155700.0,12029000.0,11967800.0,11811000.0,11388800.0,12261100.0,11133500.0,11673900.0,11889600.0,11385200.0,11403400.0,12107400.0,11412100.0,11615800.0,11671200.0,11700700.0,371381.0
