compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,1105.63,1224.38,1585.69,1304.88,1280.5,1259.63,1136.69,934.5,934.312,937.437,951.563,933.25,1024.81,946.812,937.437,934.937,1089.53,194.065
exocc,32,1125.5,1173.81,1123.56,1061.25,1038.62,1034.0,1036.19,1046.81,1036.12,1034.31,1047.69,1034.5,1041.06,1070.37,1022.0,1015.75,1058.85,43.9984
exocc,64,1313.69,1253.44,1240.25,1282.75,1640.25,1203.56,1196.25,1215.13,1235.87,1162.69,1167.31,1188.81,1259.25,1225.25,1443.56,1330.06,1272.38,120.763
exocc,128,2496.75,1662.19,1923.56,1669.81,1715.12,1671.5,1677.31,1943.62,2000.06,1736.5,1746.69,2401.0,2117.94,1886.25,1652.5,2053.25,1897.13,264.277
exocc,256,4919.31,4840.75,3056.87,3539.5,3576.38,4566.06,3005.69,2992.88,3209.37,3074.06,3049.0,2899.0,3119.38,3703.31,3422.25,2899.38,3492.07,684.9
exocc,512,8209.62,6412.5,7226.44,7382.06,6992.88,6408.69,6404.13,7631.75,6760.0,6562.12,8275.19,7304.81,6909.37,6499.19,7366.56,7401.44,7109.17,602.311
exocc,1024,15579.7,14850.8,17182.3,16365.2,14671.5,13962.0,15363.4,15418.8,15418.9,15797.9,15707.4,17158.3,16423.4,14847.1,16199.4,13803.9,15546.9,985.959
exocc,2048,29759.4,36550.8,31346.3,28721.7,32591.9,31017.9,31111.0,31034.7,28540.2,30908.8,30265.4,36247.5,28677.1,29951.9,30178.2,33837.4,31296.3,2424.31
exocc,4096,59457.8,59819.1,57680.0,61404.2,65459.2,60994.9,58542.4,60506.8,58348.3,60132.2,63305.9,64615.2,59502.3,57746.8,61352.6,61411.9,60642.5,2285.8
exocc,8192,126505.0,114383.0,123090.0,131609.0,128743.0,117761.0,116946.0,114242.0,129758.0,122619.0,120182.0,113505.0,125653.0,118024.0,123211.0,128281.0,122157.0,5925.8
