compiler,size,cputime_0,cputime_1,cputime_2,cputime_3,cputime_4,cputime_5,cputime_6,cputime_7,cputime_8,cputime_9,cputime_10,cputime_11,cputime_12,cputime_13,cputime_14,cputime_15,mean,stddev
exocc,16,5514.87,5189.19,5282.94,5157.44,5149.38,5208.25,5159.25,5274.0,5211.12,5284.87,5210.31,5162.31,5141.12,5144.19,5145.69,5157.0,5212.0,95.0974
exocc,32,38714.5,38894.6,38824.6,38647.7,38806.3,38636.9,38977.8,38814.3,38578.3,38738.9,38468.0,38839.8,38832.9,38579.1,38924.2,38509.8,38736.7,152.468
exocc,64,303119.0,304254.0,303145.0,303367.0,303899.0,302946.0,302837.0,302521.0,303117.0,303452.0,303731.0,303060.0,303170.0,303384.0,303015.0,303046.0,303254.0,425.306
exocc,128,2739990.0,2741100.0,2735460.0,2735950.0,2829550.0,2742230.0,2731030.0,2735180.0,2734180.0,2738400.0,2734840.0,2732530.0,2740750.0,2741510.0,2739650.0,2734160.0,2742910.0,23362.4
exocc,256,25655900.0,26656500.0,26256000.0,27624600.0,26659100.0,26143900.0,26052600.0,27163700.0,27524000.0,26284900.0,26171800.0,20901100.0,21887600.0,24238200.0,25087600.0,25083500.0,25587000.0,1870060.0
exocc,512,276142000.0,279951000.0,278687000.0,277643000.0,278344000.0,278175000.0,279026000.0,279447000.0,278389000.0,279312000.0,279019000.0,279000000.0,278498000.0,278169000.0,279373000.0,278917000.0,278631000.0,883200.0
exomlir,16,4521.25,4471.69,4487.0,4499.31,4486.0,4455.56,4503.94,4478.0,4472.37,4473.94,4451.81,4458.37,4458.75,4454.19,4453.06,4479.06,4475.27,20.4062
exomlir,32,32742.6,32704.8,32705.8,32644.3,32712.2,32694.5,32761.9,32716.8,32747.7,32799.5,32838.5,32682.6,32725.9,32669.8,32759.6,32846.5,32734.6,56.8175
exomlir,64,293548.0,289950.0,289460.0,289582.0,289924.0,289681.0,289429.0,291378.0,289345.0,289382.0,291124.0,289108.0,289771.0,289255.0,289183.0,289125.0,289953.0,1162.27
exomlir,128,2556060.0,2554280.0,2556340.0,2552090.0,2563240.0,2558360.0,2552260.0,2551260.0,2583400.0,2551690.0,2554160.0,2557070.0,2574240.0,2546870.0,2551970.0,2560000.0,2557710.0,9267.6
exomlir,256,26764100.0,24986300.0,24338800.0,25524200.0,25508700.0,24417600.0,25847700.0,25417800.0,25115100.0,25636900.0,26112700.0,24780000.0,24731400.0,25848500.0,25571300.0,25300600.0,25368900.0,635227.0
exomlir,512,264579000.0,264215000.0,264314000.0,264326000.0,264301000.0,264490000.0,263967000.0,264802000.0,264255000.0,265024000.0,264788000.0,264690000.0,264765000.0,264593000.0,264739000.0,264527000.0,264523000.0,276693.0
